Region,Hour,Technology,Fuel,Value
NO,109,SolarPV,Power,-0.0
DK,109,SolarPV,Power,-0.0
UK,109,SolarPV,Power,-0.0
DE,110,SolarPV,Power,-0.0
FR,110,SolarPV,Power,-0.0
NO,110,SolarPV,Power,-0.0
DK,110,SolarPV,Power,-0.0
UK,110,SolarPV,Power,-0.0
DE,111,SolarPV,Power,-0.0
FR,111,SolarPV,Power,-0.0
NO,111,SolarPV,Power,-0.0
DK,111,SolarPV,Power,-0.0
UK,111,SolarPV,Power,-0.0
DE,112,SolarPV,Power,-0.0
FR,112,SolarPV,Power,-0.0
NO,112,SolarPV,Power,-0.0
DK,112,SolarPV,Power,-0.0
UK,112,SolarPV,Power,-0.0
DE,113,SolarPV,Power,-0.0
FR,113,SolarPV,Power,-0.0
NO,113,SolarPV,Power,-0.0
DK,113,SolarPV,Power,-0.0
UK,113,SolarPV,Power,-0.0
DE,114,SolarPV,Power,-0.0
FR,114,SolarPV,Power,-0.0
NO,114,SolarPV,Power,-0.0
DK,114,SolarPV,Power,-0.0
UK,114,SolarPV,Power,-0.0
DE,115,SolarPV,Power,-0.0
FR,115,SolarPV,Power,-0.0
NO,115,SolarPV,Power,-0.0
DK,115,SolarPV,Power,-0.0
UK,115,SolarPV,Power,-0.0
DE,116,SolarPV,Power,-0.0
FR,116,SolarPV,Power,-0.0
NO,116,SolarPV,Power,-0.0
DK,116,SolarPV,Power,-0.0
UK,116,SolarPV,Power,-0.0
DE,117,SolarPV,Power,-0.0
FR,117,SolarPV,Power,-0.0
NO,117,SolarPV,Power,-0.0
DK,117,SolarPV,Power,-0.0
UK,117,SolarPV,Power,-0.0
DE,118,SolarPV,Power,-0.0
FR,118,SolarPV,Power,-0.0
NO,118,SolarPV,Power,-0.0
DK,118,SolarPV,Power,-0.0
UK,118,SolarPV,Power,-0.0
DE,119,SolarPV,Power,-0.0
FR,119,SolarPV,Power,-0.0
NO,119,SolarPV,Power,-0.0
DK,119,SolarPV,Power,-0.0
UK,119,SolarPV,Power,-0.0
DE,120,SolarPV,Power,-0.0
FR,120,SolarPV,Power,-0.0
NO,120,SolarPV,Power,-0.0
DK,120,SolarPV,Power,-0.0
UK,120,SolarPV,Power,-0.0
DE,1,CoalMine,Power,-0.0
FR,1,CoalMine,Power,-0.0
NO,1,CoalMine,Power,-0.0
DK,1,CoalMine,Power,-0.0
